nettomiete;nettomiete.qm;wohnflaeche;zimmerzahl;baujahr;bezirk;wohnlage;warmwasser;z.heizung;bad.kacheln;bad.extras;geh.kueche
741,39;10,9;68;2;1918;2;gute;ja;ja;ja;nein;nein
715,82;11,01;65;2;1995;2;gute;ja;ja;ja;nein;nein
528,25;8,38;63;3;1918;2;gute;ja;ja;ja;nein;nein
553,99;8,52;65;3;1983;16;einfache;ja;ja;ja;ja;nein
698,21;6,98;100;4;1995;16;gute;ja;ja;ja;ja;ja
935,65;11,55;81;4;1980;16;einfache;ja;ja;ja;nein;nein
204,85;3,72;55;2;1924;6;einfache;ja;ja;ja;ja;nein
426,93;5,4;79;3;1924;6;einfache;ja;ja;ja;nein;nein
446,33;8,58;52;1;1957;6;einfache;ja;ja;ja;nein;nein
381,45;4,95;77;3;1948;6;einfache;ja;ja;ja;nein;nein
337,26;9,64;35;1;1957;6;einfache;ja;ja;ja;nein;nein
756,73;11,13;68;2;1985;6;gute;ja;ja;ja;nein;nein
945,9;10,28;92;3;1918;12;gute;ja;ja;ja;nein;nein
264,93;11,52;23;1;1957,5;4;gute;ja;ja;ja;nein;nein
540,58;6,84;79;2;1918;12;gute;ja;ja;ja;nein;nein
757,74;9,24;82;4;1966;10;einfache;ja;ja;nein;nein;nein
538,7;7,48;72;3;1972;10;einfache;ja;ja;ja;nein;nein
796,07;4,47;178;6;1918;1;gute;nein;nein;ja;nein;nein
461,19;9,41;49;2;2001;3;gute;ja;ja;nein;nein;nein
752,27;8,65;87;3;1966;4;einfache;ja;ja;nein;ja;nein
446,55;10,38;43;2;1972;4;einfache;ja;ja;ja;nein;nein
548,17;8,99;61;2;1957;4;einfache;ja;ja;nein;nein;nein
421,03;7,02;60;3;1966;4;einfache;ja;ja;nein;nein;nein
759,57;8,53;89;4;1960;4;einfache;ja;ja;nein;nein;nein
390;4,24;92;3;1918;4;gute;nein;nein;ja;nein;nein
436,89;6,72;65;2;1918;4;gute;ja;ja;ja;nein;nein
174,76;3,07;57;3;1957;14;einfache;ja;ja;nein;nein;nein
354,91;9,34;38;1;1967;14;einfache;ja;ja;nein;nein;ja
491,62;9,83;50;2;1985;14;einfache;ja;ja;ja;nein;nein
695,36;11,04;63;2;1992;3;gute;ja;ja;ja;ja;nein
540,22;7,2;75;3;1966;5;einfache;ja;ja;ja;nein;nein
325,12;6,13;53;2;1976;17;einfache;ja;ja;ja;nein;nein
598,88;6,81;88;4;1966;21;gute;ja;ja;nein;nein;nein
466,38;6,86;68;3;1971;22;einfache;ja;ja;ja;nein;nein
374,13;6,93;54;2;1960;7;einfache;ja;ja;ja;nein;nein
488,3;6,34;77;3;1972;7;einfache;ja;ja;ja;nein;nein
662,55;8,39;79;3;1957,5;3;gute;ja;ja;ja;nein;nein
357,05;9,92;36;2;1960;3;gute;ja;nein;ja;nein;nein
1061,81;11,3;94;3;1993;15;gute;ja;ja;ja;ja;nein
546,1;8,03;68;3;1918;9;gute;ja;ja;ja;nein;nein
360,48;5,81;62;3;1918;9;gute;nein;nein;ja;nein;nein
422,43;4,18;101;4;1918;9;gute;ja;nein;ja;nein;nein
433,25;6,37;68;3;1966;13;einfache;ja;ja;nein;nein;nein
521,53;10,87;48;2;1987;2;gute;ja;ja;ja;nein;nein
264,99;8,55;31;1;1973;11;einfache;ja;ja;ja;nein;nein
480,1;7,39;65;3;1971;11;einfache;ja;ja;ja;nein;nein
383,72;10,66;36;1;1972;4;gute;ja;ja;ja;nein;nein
636,13;11,78;54;2;1999;10;einfache;ja;ja;ja;nein;ja
415,91;7,56;55;2;1986;10;einfache;ja;ja;ja;nein;nein
1355,28;11,99;113;4;2001;23;einfache;ja;ja;ja;nein;nein
575,9;5,24;110;4;1966;23;einfache;ja;ja;ja;ja;nein
935,9;12,48;75;3;1971;12;gute;ja;ja;ja;nein;nein
624,8;8,33;75;2;1985;12;gute;ja;ja;ja;nein;nein
606,91;9,06;67;3;1968;19;einfache;ja;ja;nein;nein;ja
347,68;8,91;39;1;1970;19;einfache;ja;ja;ja;nein;nein
373,98;10,39;36;1;1966;7;einfache;ja;ja;nein;nein;nein
1063,5;10,43;102;4;1924;12;gute;ja;ja;ja;nein;nein
894,78;10,17;88;3;1960;12;einfache;ja;ja;ja;nein;nein
1077,23;7,33;147;4;1918;12;gute;ja;ja;ja;ja;nein
331,67;5,1;65;3;1966;19;einfache;ja;ja;ja;nein;nein
849,24;9,99;85;3;1969;19;einfache;ja;ja;ja;nein;nein
1012,86;8,73;116;6;2001;24;einfache;ja;ja;ja;ja;nein
664,69;9,11;73;3;1924;23;einfache;ja;ja;ja;nein;ja
1022,6;11,36;90;3;1989;19;beste;ja;ja;ja;nein;nein
